#p q x1 x2 x3 df/dx3
11.500000 1.000000 1.590721 0.022967 0.118787 -0.506319
11.510000 1.000000 0.351430 0.167567 0.025376 0.441489
11.510000 1.000000 1.589468 0.023022 0.118608 -0.505404
11.520000 1.000000 0.352345 0.167299 0.025424 0.440853
11.520000 1.000000 1.588212 0.023077 0.118429 -0.504487
11.530000 1.000000 0.353263 0.167031 0.025473 0.440214
11.530000 1.000000 1.586954 0.023132 0.118250 -0.503568
11.540000 1.000000 0.354183 0.166763 0.025522 0.439573
11.540000 1.000000 1.585694 0.023188 0.118071 -0.502647
11.550000 1.000000 0.355105 0.166495 0.025571 0.438929
11.550000 1.000000 1.584431 0.023244 0.117892 -0.501723
11.560000 1.000000 0.356030 0.166227 0.025620 0.438283
11.560000 1.000000 1.583166 0.023299 0.117713 -0.500798
11.570000 1.000000 0.356958 0.165958 0.025669 0.437635
11.570000 1.000000 1.581897 0.023355 0.117534 -0.499871
11.570000 1.000000 1.581898 0.023355 0.117534 -0.499871
11.580000 1.000000 0.357888 0.165689 0.025718 0.436985
11.580000 1.000000 1.580627 0.023412 0.117355 -0.498942
11.590000 1.000000 0.358820 0.165420 0.025767 0.436332
11.590000 1.000000 1.579354 0.023468 0.117177 -0.498011
11.600000 1.000000 0.359755 0.165151 0.025817 0.435677
11.600000 1.000000 1.578078 0.023525 0.116998 -0.497078
11.610000 1.000000 0.360693 0.164882 0.025866 0.435019
11.610000 1.000000 1.576799 0.023581 0.116819 -0.496142
11.610000 1.000000 1.576800 0.023581 0.116819 -0.496142
11.620000 1.000000 0.361633 0.164613 0.025916 0.434359
11.620000 1.000000 1.575518 0.023638 0.116641 -0.495205
11.630000 1.000000 0.362575 0.164343 0.025966 0.433697
11.630000 1.000000 0.362576 0.164343 0.025966 0.433697
11.630000 1.000000 1.574235 0.023696 0.116462 -0.494265
11.640000 1.000000 0.363521 0.164073 0.026016 0.433032
11.640000 1.000000 1.572948 0.023753 0.116284 -0.493324
11.640000 1.000000 1.572949 0.023753 0.116284 -0.493324
11.650000 1.000000 0.364469 0.163803 0.026066 0.432365
11.650000 1.000000 1.571659 0.023811 0.116106 -0.492380
11.650000 1.000000 1.571660 0.023811 0.116106 -0.492380
11.660000 1.000000 0.365419 0.163533 0.026116 0.431695
11.660000 1.000000 1.570368 0.023868 0.115927 -0.491434
11.670000 1.000000 0.366372 0.163263 0.026167 0.431023
11.670000 1.000000 1.569073 0.023926 0.115749 -0.490487
11.670000 1.000000 1.569074 0.023926 0.115749 -0.490487
11.680000 1.000000 0.367328 0.162993 0.026217 0.430349
11.680000 1.000000 1.567776 0.023985 0.115571 -0.489536
11.680000 1.000000 1.567776 0.023985 0.115571 -0.489537
11.690000 1.000000 0.368287 0.162722 0.026268 0.429672
11.690000 1.000000 1.566477 0.024043 0.115393 -0.488584
11.700000 1.000000 0.369248 0.162451 0.026319 0.428992
11.700000 1.000000 1.565174 0.024102 0.115214 -0.487630
11.710000 1.000000 0.370212 0.162181 0.026370 0.428310
11.710000 1.000000 1.563869 0.024160 0.115036 -0.486673
11.720000 1.000000 0.371178 0.161909 0.026421 0.427626
11.720000 1.000000 1.562561 0.024219 0.114858 -0.485715
11.730000 1.000000 0.372148 0.161638 0.026472 0.426939
11.730000 1.000000 1.561250 0.024279 0.114680 -0.484754
11.740000 1.000000 0.373120 0.161367 0.026523 0.426249
11.740000 1.000000 1.559936 0.024338 0.114502 -0.483791
11.750000 1.000000 0.374095 0.161095 0.026574 0.425557
11.750000 1.000000 1.558620 0.024398 0.114324 -0.482825
11.760000 1.000000 0.375072 0.160823 0.026626 0.424862
11.760000 1.000000 1.557301 0.024458 0.114146 -0.481858
11.770000 1.000000 0.376053 0.160551 0.026678 0.424165
11.770000 1.000000 0.376053 0.160552 0.026678 0.424165
11.770000 1.000000 1.555979 0.024518 0.113969 -0.480888
11.780000 1.000000 0.377036 0.160279 0.026730 0.423465
11.780000 1.000000 1.554654 0.024578 0.113791 -0.479916
11.790000 1.000000 0.378022 0.160007 0.026782 0.422763
11.790000 1.000000 1.553326 0.024639 0.113613 -0.478941
11.800000 1.000000 0.379011 0.159735 0.026834 0.422058
11.800000 1.000000 1.551995 0.024699 0.113435 -0.477965
11.810000 1.000000 0.380002 0.159462 0.026886 0.421350
11.810000 1.000000 1.550661 0.024760 0.113257 -0.476986
11.820000 1.000000 0.380997 0.159189 0.026938 0.420640
11.820000 1.000000 1.549325 0.024822 0.113080 -0.476004
11.820000 1.000000 1.549325 0.024822 0.113080 -0.476005
11.830000 1.000000 0.381994 0.158916 0.026991 0.419927
11.830000 1.000000 1.547985 0.024883 0.112902 -0.475021
11.840000 1.000000 0.382995 0.158643 0.027044 0.419211
11.840000 1.000000 1.546643 0.024945 0.112724 -0.474035
11.850000 1.000000 0.383998 0.158369 0.027097 0.418493
11.850000 1.000000 1.545297 0.025007 0.112547 -0.473047
11.860000 1.000000 0.385004 0.158096 0.027150 0.417772
11.860000 1.000000 1.543949 0.025069 0.112369 -0.472056
11.870000 1.000000 0.386014 0.157822 0.027203 0.417048
11.870000 1.000000 0.386014 0.157822 0.027203 0.417049
11.870000 1.000000 1.542597 0.025131 0.112192 -0.471063
11.880000 1.000000 0.387026 0.157548 0.027256 0.416322
11.880000 1.000000 1.541243 0.025194 0.112014 -0.470067
11.890000 1.000000 0.388041 0.157274 0.027309 0.415593
11.890000 1.000000 1.539885 0.025256 0.111836 -0.469069
11.890000 1.000000 1.539885 0.025256 0.111836 -0.469070
11.900000 1.000000 0.389059 0.157000 0.027363 0.414861
11.900000 1.000000 1.538524 0.025320 0.111659 -0.468069
11.900000 1.000000 1.538525 0.025320 0.111659 -0.468069
11.910000 1.000000 0.390080 0.156725 0.027417 0.414126
11.910000 1.000000 0.390080 0.156725 0.027417 0.414127
11.910000 1.000000 1.537161 0.025383 0.111481 -0.467066
11.920000 1.000000 0.391105 0.156450 0.027471 0.413389
11.920000 1.000000 1.535794 0.025446 0.111304 -0.466061
11.930000 1.000000 0.392132 0.156175 0.027525 0.412649
